title,author,category,pages,published,format,dimensions,price,isbn,isbn_10
Watch Over Me,Claire Corbett,"[""Thrillers & Suspense"", ""Fiction""]",480,2017,paperback,"[2, 3, 1.6]",24.95,9781743310755,1743310757
Kiss Carlo,Adriana Trigiani,"[""Historical Fiction"", ""Fiction""]",544,2017,hardcover,"[3.5, 5.5, 1.82]",41.25,9780062319227,0062319221
"A Bride, a Barn, and a Baby",Nancy Robards Thompson,"[""Romance"", ""Fiction""]",240,2017,"hardcover, paperback","[7, 11, 0.8]",9.9,9780373623594,0373623593
Trashbus,Renata Britvec,"[""Short Stories"", ""Fiction in Translation and Short Stories""]",56,2017,"hardcover, paperback","[4, 6.75, 0.19]",22.75,9783743182226,374318222X
Dragonar Academy,Ran Shiki Mizuchi,"[""Manga"", ""Graphic Novels""]",180,2017,hardcover,"[12.0, 19.0, 0.6]",20.75,9781626925298,1626925291
The Bear and the Nightingale,Katherine Arden,"[""Modern & Contemporary Fiction"", ""Fiction""]",368,2017,hardcover,"[8.25, 11.5, 1.23]",25.75,9781101885956,1101885955
Pirate Latitudes,Michael CRICHTON,"[""Modern & Contemporary Fiction"", ""Fiction""]",,2017,"hardcover, paperback","[3.5, 5.5, 0.6]",34.4,9780007329083,0007329083
The Life And Times Of Martha Washington In The Twenty-First Century (Second Edition),FRANK MILLER,"[""Photography & Photographs"", ""Arts & Entertainment""]",600,2017,"hardcover, paperback","[12.0, 19.0, 2.0]",44.25,9781506700359,1506700357
Dancing the Death Drill,Fred Khumalo,"[""Modern & Contemporary Fiction"", ""Fiction""]",328,2017,hardcover,"[12.0, 19.0, 1.1]",16.87,9781909762534,1909762539
Rapture,Iliazd,"[""Modern & Contemporary Fiction"", ""Fiction""]",248,2017,paperback,"[9.5, 12.0, 0.83]",66.5,9780231180825,0231180829
Xxxholic Rei 4,CLAMP CLAMP,"[""Manga"", ""Graphic Novels""]",192,2017,"hardcover, paperback","[4, 6.5, 0.64]",18.9,9781612625867,161262586X
The Accomplished Guest,Ann Beattie,"[""Short Stories"", ""Fiction in Translation and Short Stories""]",288,2017,paperback,"[4, 6.75, 0.96]",38.5,9781501111389,1501111388
The Apartment,S. L. Grey,"[""Thrillers & Suspense"", ""Fiction""]",368,2017,paperback,"[4, 6.75, 1.23]",14.95,9781447266563,1447266560
Steelflower,Lilith Saintcrow,"[""Fantasy Fiction"", ""Fiction""]",320,2017,hardcover,"[6.5, 9.25, 1.07]",22.75,9780989975377,0989975371
Taken by the Biker Dom [The Spectrum Auctions 6] (Siren Publishing Classic),Doris O'Connor,"[""Erotic Fiction"", ""Fiction""]",228,2017,hardcover,"[3.5, 5.5, 0.76]",24.5,9781640105454,164010545X
The Light We Lost,Jill Santopolo,"[""Romance"", ""Fiction""]",320,2017,paperback,"[3.5, 5.5, 1.07]",26.4,9780008224561,0008224560
The Noise of Time,Julian Barnes,"[""Modern & Contemporary Fiction"", ""Fiction""]",224,2017,paperback,"[6, 9, 0.75]",25.75,9781101971185,1101971185
Promise Of Hunters Ridge,Sarah Barrie,"[""Adult & Contemporary Romance"", ""Romance""]",432,2017,"hardcover, paperback","[2, 3, 1.44]",24.95,9781489226525,1489226524
"Rurouni Kenshin (3-in-1 Edition), Vol. 3",Nobuhiro Watsuki,"[""Manga"", ""Graphic Novels""]",600,2017,hardcover,"[6.5, 9.25, 2.0]",22.25,9781421592473,1421592479
Walt Kelly's Peter Wheat the Complete Series,Walt Kelly,"[""Comic Strip Fiction & Graphic Novels for Children & Teenagers"", ""Children's Fiction""]",272,2017,hardcover,"[4, 6.75, 0.91]",49.9,9781613451243,1613451245
The Alchemist's Touch,Garrett Robinson,"[""Fantasy Fiction"", ""Fiction""]",354,2017,"hardcover, paperback","[12.0, 19.0, 1.18]",54.25,9781941076422,1941076424
Beneath The Parisian Skies,Alli Sinclair,"[""Adult & Contemporary Romance"", ""Romance""]",336,2017,paperback,"[5, 7.37, 1.13]",24.95,9781489236128,1489236120
Best Laid Plans,Kathy Lette,"[""Modern & Contemporary Fiction"", ""Fiction""]",320,2017,paperback,"[6.5, 10, 1.07]",25.5,9780593071366,0593071360
The Lyrical Comics Of Dillies Set,Renaud Dillies,"[""Graphic Novels"", ""Fiction""]",288,2017,"hardcover, paperback","[12.0, 19.0, 0.96]",68.4,9781681121062,1681121069
Garfield Fat Cat 3-Pack #19,Jim Davis,"[""Cartoons & Comic Strips"", ""Comedy & Humour""]",288,2017,hardcover,"[2.5, 4, 0.96]",26.75,9780425285619,0425285618
The Gills Creek Five,Greg M Dodd,"[""Religious & Spiritual Fiction"", ""Fiction""]",162,2017,hardcover,"[6, 9, 0.54]",15.25,9780991533244,0991533240
The Magical World of Madame Metier,Daphne Rose Kingma,"[""Modern & Contemporary Fiction"", ""Fiction""]",385,2017,paperback,"[7, 11, 1.29]",37.25,9781510719262,1510719261
Fatherhood,Karl Ove Knausgaard,"[""Fiction in Translation"", ""Fiction in Translation and Short Stories""]",128,2017,"hardcover, paperback","[5.37, 8, 0.43]",7.9,9781784872663,1784872660
Star Wars The Classic Newspaper Comics Vol. 1,"Don;Gerber, Steve;Helm, Russ;Manning, Russ; Christensen","[""Cartoons & Comic Strips"", ""Comedy & Humour""]",260,2017,hardcover,"[5, 7.37, 0.87]",62.75,9781631408724,1631408720
Timeline,Steven Foster,"[""Action & Adventure"", ""Fiction""]",302,2017,paperback,"[6.5, 9.25, 1.01]",26.5,9781942508335,1942508336
The Memory Agent,Matthew B. J. Delaney,"[""Science Fiction"", ""Fiction""]",332,2017,"hardcover, paperback","[6, 9, 1.11]",21.75,9781503942691,1503942694
The Tourist,Robert Dickinson,"[""Science Fiction"", ""Fiction""]",352,2017,hardcover,"[6.5, 9.25, 1.18]",16.9,9780356508184,0356508188
Welcome To The Ballroom 6,Tomo Takeuchi,"[""Manga"", ""Graphic Novels""]",192,2017,"hardcover, paperback","[5, 7.37, 0.64]",20.75,9781632364463,1632364468
Safe with Me,Grace Lowrie,"[""Romance"", ""Fiction""]",356,2017,"hardcover, paperback","[5.37, 8, 1.19]",16.95,9781786155368,1786155362
Beautiful Nightmare,Johnna B,"[""Modern & Contemporary Fiction"", ""Fiction""]",288,2017,paperback,"[8.25, 11.5, 0.96]",24.25,9781622865154,1622865154
City of Masks,S. D. Sykes,"[""Crime & Mystery"", ""Fiction""]",336,2017,paperback,"[8.25, 11.5, 1.13]",38.4,9781681773421,1681773422
Divinity III,Jeff Lemire,"[""Superheroes & Super-villains"", ""Graphic Novels""]",112,2017,paperback,"[12.0, 19.0, 0.38]",27.75,9781682152072,1682152073
Intimacy,Hanif Kureishi,"[""Classic Fiction"", ""Fiction""]",160,2017,paperback,"[6.5, 9.25, 0.54]",16.75,9780571333554,0571333559
Fairy Tail Day Planner 2017 - 2018,Hiro Mashima,"[""Manga"", ""Graphic Novels""]",160,2017,hardcover,"[5, 7.37, 0.54]",26.8,9781632364203,1632364204
The End of the Day,Claire North,"[""Fantasy Fiction"", ""Fiction""]",480,2017,paperback,"[5.37, 8, 1.6]",24.95,9780356507354,0356507351
The Hanging Tree,Ben Aaronovitch,"[""Fantasy Fiction"", ""Fiction""]",320,2017,hardcover,"[2, 3, 1.07]",15.95,9780575132573,0575132574
The Saved,C S Fraser,"[""Fantasy Fiction"", ""Fiction""]",96,2017,"hardcover, paperback","[7, 11, 0.32]",10.9,9781320594677,1320594670
The Good Daughter,Alexandra Burt,"[""Thrillers & Suspense"", ""Fiction""]",528,2017,"hardcover, paperback","[12.0, 19.0, 1.76]",24.95,9780008220877,0008220875
Cinderella and the Duke,Janice Preston,"[""Regency Historical Romance\n"", ""Historical Romance""]",288,2017,hardcover,"[6.5, 9.25, 0.96]",11.75,9780373299379,0373299370
Orbital Cloud,Taiyo Fujii,"[""Science Fiction"", ""Fiction""]",178,2017,"hardcover, paperback","[12.0, 19.0, 0.6]",20.75,9781421592138,1421592134
A Hopeful Heart,Amy Clipston,"[""Romance"", ""Fiction""]",304,2017,hardcover,"[9.5, 12.0, 1.02]",13.9,9780310350705,0310350700
The Surgeon's Cinderella/Saved By Doctor Dreamy,Susan Carlisle,"[""Adult & Contemporary Romance"", ""Romance""]",384,2017,"hardcover, paperback","[3.5, 5.5, 1.28]",12.5,9781489223722,148922372X
Racing Storms,Sara Russell,"[""Romance"", ""Fiction""]",198,2017,paperback,"[6, 9, 0.66]",24.4,9781635053791,163505379X
Sidney Chambers and The Persistence of Love ,James Runcie,"[""Crime & Mystery"", ""Fiction""]",288,2017,hardcover,"[7, 11, 0.96]",23.4,9781408879023,1408879026
The Best Kind of People,Zoe Whittall,"[""Modern & Contemporary Fiction"", ""Fiction""]",432,2017,hardcover,"[5, 7.37, 1.44]",23.95,9781473658073,1473658071
Revival,William Sims Bainbridge,"[""Fiction"", ""\r\nBooks\r\n""]",192,2017,"hardcover, paperback","[7, 11, 0.64]",34.25,9781627310482,1627310487
The Day of the Duchess,Sarah MacLean,"[""Historical Romance"", ""Romance""]",400,2017,"hardcover, paperback","[7, 11, 1.34]",16.75,9780349409764,0349409765
Coming in,Michelle Ogilvy,"[""Romance"", ""Fiction""]",238,2017,"hardcover, paperback","[2, 3, 0.8]",25.95,9781947139091,1947139096
The Killing Lessons,Saul Black,"[""Thrillers & Suspense"", ""Fiction""]",416,2017,paperback,"[8.25, 11.5, 1.39]",27.25,9781250133540,1250133548
Broken River,J. Robert Lennon,"[""Modern & Contemporary Fiction"", ""Fiction""]",336,2017,paperback,"[12.0, 19.0, 1.13]",23.4,9781781258002,1781258007
The Secret Kept from the Greek,Susan Stephens,"[""Romance"", ""Fiction""]",224,2017,hardcover,"[3.5, 5.5, 0.75]",9.4,9780373060818,0373060815
The Twin Flame Reality,Michelle Gordon,"[""Religious & Spiritual Fiction"", ""Fiction""]",214,2017,hardcover,"[3.5, 5.5, 0.72]",28.25,9781912257072,1912257076
On the Camino,Jason,"[""Reference, Dictionaries & Guides"", ""Language & Linguistics""]",192,2017,paperback,"[5.37, 8, 0.64]",29.75,9781683960218,1683960211
The Hospital Murder Case,Means Davis,"[""Historical Mysteries"", ""Crime & Mystery""]",194,2017,"hardcover, paperback","[6.5, 9.25, 0.65]",17.25,9781479427352,1479427357
The Asylum of Dr. Caligari,James Morrow,"[""Modern & Contemporary Fiction"", ""Fiction""]",192,2017,"hardcover, paperback","[9.5, 12.0, 0.64]",24.25,9781616962654,1616962658
Midnight Blue,Simone van der Vlugt,"[""Modern & Contemporary Fiction"", ""Fiction""]",336,2017,hardcover,"[2, 3, 1.13]",26.95,9780008212117,0008212112
Fall from Grace,Tim Weaver,"[""Crime & Mystery"", ""Fiction""]",416,2017,hardcover,"[4, 6.75, 1.39]",25.75,9780399562594,0399562591
Transformers,Bob Budiansky,"[""Graphic Novels"", ""Fiction""]",96,2017,paperback,"[2.5, 4, 0.32]",18.9,9781684050772,1684050774
On the Eve,Ivan Turgenev,"[""Classic Fiction"", ""Fiction""]",224,2017,"hardcover, paperback","[6.5, 9.25, 0.75]",16.9,9781847496324,1847496326
Gods' Fool,Derek E Pearson,"[""Horror & Ghost Stories"", ""Fantasy Fiction""]",224,2017,hardcover,"[6.5, 9.25, 0.75]",19.25,9781912031726,1912031728
"Murder on the Serpentine (Thomas Pitt Mystery, Book 32)",Anne Perry,"[""Historical Mysteries"", ""Crime & Mystery""]",336,2017,hardcover,"[4, 6.5, 1.13]",16.9,9781472234087,1472234081
The Wardrobe Mistress,Meghan Masterson,"[""Historical Fiction"", ""Fiction""]",320,2017,"hardcover, paperback","[4, 6.5, 1.07]",25.75,9781250126665,1250126665
The Pleasures of Passion,Sabrina Jeffries,"[""Historical Romance"", ""Romance""]",400,2017,paperback,"[6.5, 9.25, 1.34]",15.9,9781472245441,147224544X
The Flash The Silver Age Vol. 2,John Broome,"[""Graphic Novels"", ""Fiction""]",300,2017,paperback,"[3.5, 5.5, 1.0]",49.25,9781401270889,1401270883
El Psicoanalista,John Katzenbach,"[""Thrillers & Suspense"", ""Fiction""]",528,2017,hardcover,"[12.0, 19.0, 1.76]",29.5,9786074802139,6074802130
Guilty Minds,Joseph Finder,"[""Thrillers & Suspense"", ""Fiction""]",480,2017,"hardcover, paperback","[6.5, 9.25, 1.6]",16.9,9780451472588,0451472586
Blue Shift,Jane O'Reilly,"[""Science Fiction"", ""Fiction""]",304,2017,hardcover,"[8.25, 11.5, 1.02]",26.95,9780349416595,0349416591
Forbidden Dance,Deanna Roy,"[""Romance"", ""Fiction""]",346,2017,hardcover,"[5.37, 8, 1.16]",36.95,9781938150616,1938150619
The Lie of the Land,Amanda Craig,"[""Modern & Contemporary Fiction"", ""Fiction""]",432,2017,hardcover,"[4, 6.75, 1.44]",25.5,9781408709306,1408709309
"Butterfly, We're Expecting You!",Libby Hathorn,"[""Picture & Character Books"", ""Picture Books in General""]",24,2017,"hardcover, paperback","[2, 3, 0.08]",12.5,9780734416995,0734416997
Sold For The Greek's Heir,Lynne Graham,"[""Adult & Contemporary Romance"", ""Romance""]",192,2017,paperback,"[5.37, 8, 0.64]",7.95,9781489224354,1489224351
Invasive,Chuck Wendig,"[""Thrillers & Suspense"", ""Fiction""]",384,2017,hardcover,"[6.5, 10, 1.28]",11.9,9780062471628,0062471627
Tobacco Sun,Lorna Hollifield,"[""Historical Fiction"", ""Fiction""]",246,2017,paperback,"[4, 6.5, 0.82]",23.9,9781941541869,1941541860
The Rebel's Daughter,Anita Davison,"[""Historical Fiction"", ""Fiction""]",298,2017,hardcover,"[3.5, 5.5, 1.0]",27.95,9781772999358,1772999350
The Woods Vol. 7,James Tynion IV,"[""Graphic Novels"", ""Fiction""]",112,2017,paperback,"[5, 7.37, 0.38]",24.25,9781608869893,160886989X
Leaving Las Vegas,John O'Brien,"[""Fiction"", ""\r\nBooks\r\n""]",192,2017,paperback,"[4, 6.5, 0.64]",18.9,9781611855210,1611855217
No Killing Sky,Rory McCourt,"[""Thrillers & Suspense"", ""Fiction""]",310,2017,paperback,"[5.37, 8, 1.04]",16.9,9781780263922,1780263929
The Tormentors,George Bellairs,"[""Crime & Mystery"", ""Fiction""]",256,2017,hardcover,"[3.5, 5.5, 0.86]",25.95,9781912194094,1912194090
Destined for Him/Jared,Jayne Ann Krentz,"[""Romance"", ""Fiction""]",648,2017,hardcover,"[5, 7.37, 2.16]",12.5,9781489243782,148924378X
Adua,Igiaba Scego,"[""Contemporary Women's Fiction "", ""Fiction""]",185,2017,"hardcover, paperback","[7, 11, 0.62]",27.25,9781939931450,1939931452
The Nest,Cynthia D'Aprix Sweeney,"[""Modern & Contemporary Fiction"", ""Fiction""]",416,2017,paperback,"[2.5, 4, 1.39]",16.9,9780008133757,0008133751
Enfermario,Gabriela Torres Olivares,"[""Modern & Contemporary Fiction"", ""Fiction""]",144,2017,paperback,"[8.25, 11.5, 0.48]",36.8,9781934254653,1934254657
Devastation Road,Jason Hewitt,"[""Historical Fiction"", ""Fiction""]",384,2017,"hardcover, paperback","[8.25, 11.5, 1.28]",38.5,9780316316354,0316316350
Canadian Horror Stories (Hard Cover),Aurora McGaughey,"[""Crime & Mystery"", ""Fiction""]",28,2017,hardcover,"[4, 6.75, 0.1]",36.95,9781364582852,1364582856
Of Earth and Sky,Owen Crispin,"[""War & Combat Fiction"", ""Action & Adventure""]",212,2017,paperback,"[9.5, 12.0, 0.71]",24.95,9781911589112,1911589113
Rendezvous with Death,Sam Griffith,"[""Crime & Mystery"", ""Fiction""]",240,2017,"hardcover, paperback","[6.5, 9.25, 0.8]",32.9,9781622881529,1622881524
The Beach House : Coming Home,Georgia Bockoven,"[""Romance"", ""Fiction""]",352,2017,"hardcover, paperback","[8.25, 11.5, 1.18]",25.75,9780062388988,0062388983
Crisis at Katoomba Hospital/Date with Destiny,Lucy Clark,"[""Adult & Contemporary Romance"", ""Romance""]",408,2017,paperback,"[6.5, 10, 1.36]",11.95,9781489237750,1489237755
Cinegeek, Pluttark,"[""Cartoons & Comic Strips"", ""Comedy & Humour""]",96,2017,"hardcover, paperback","[2, 3, 0.32]",26.25,9781631409004,163140900X
No Witness But The Moon,SUZANNE CHAZIN,"[""Crime & Mystery"", ""Fiction""]",352,2017,paperback,"[5.37, 8, 1.18]",16.9,9781496705198,149670519X
King of Clubs,Sandra Owens,"[""Romance"", ""Fiction""]",300,2017,hardcover,"[7, 11, 1.0]",21.25,9781542045803,1542045800
The Nearness of You,Dorothy Garlock,"[""Historical Romance"", ""Romance""]",384,2017,paperback,"[6.5, 9.25, 1.28]",38.5,9781455527359,1455527351
The Goldsmith's Wife,Anita Davison,"[""Historical Romance"", ""Romance""]",296,2017,hardcover,"[2, 3, 0.99]",27.95,9781772999341,1772999342
Bad Boy Jack,Josephine Cox,"[""Sagas"", ""Historical Fiction""]",464,2017,hardcover,"[7, 11, 1.55]",18.9,9781472245786,1472245784
In Plain Sight,M. A. Comley,"[""Crime & Mystery"", ""Fiction""]",194,2017,hardcover,"[12.0, 19.0, 0.65]",17.9,9781912175062,1912175061
Eight Days in the Sun,Mk Schiller,"[""Adult & Contemporary Romance"", ""Romance""]",252,2017,"hardcover, paperback","[6.5, 9.25, 0.84]",28.8,9781516100705,1516100700
The Little Theatre by the Sea,Rosanna Ley,"[""Crime & Mystery"", ""Fiction""]",464,2017,paperback,"[4, 6.75, 1.55]",16.95,9781784292102,1784292109
The Threat/Millionaire's Last Stand/The Heartbreak Sheriff/Her Private Avenger,Elle Kennedy,"[""Thrillers & Suspense"", ""Fiction""]",672,2017,paperback,"[2, 3, 2.25]",12.5,9781489238818,1489238816
The Night Visitor,Lucy Atkins,"[""Crime & Mystery"", ""Fiction""]",544,2017,paperback,"[12.0, 19.0, 1.82]",25.5,9781786482181,1786482185
Replica,Lauren Oliver,"[""Science Fiction"", ""Fiction""]",544,2017,"hardcover, paperback","[3.5, 5.5, 1.82]",14.25,9781473614987,1473614988
Sleep Baby Sleep,David Hewson,"[""Crime & Mystery"", ""Fiction""]",352,2017,"hardcover, paperback","[2.5, 4, 1.18]",25.5,9781447293415,144729341X
Salt Houses,Hala Alyan,"[""Modern & Contemporary Fiction"", ""Fiction""]",256,2017,paperback,"[5, 7.37, 0.86]",25.5,9781786330420,1786330423
Her Kind Of Doctor/The Last Single Garrett,Stella Bagwell,"[""Adult & Contemporary Romance"", ""Romance""]",456,2017,"hardcover, paperback","[6, 9, 1.52]",12.75,9781489225535,1489225536
Archie Comics 1000 Page Comics Hoopla,ARCHIE SUPERSTARS,"[""Comic Strip Fiction & Graphic Novels for Children & Teenagers"", ""Children's Fiction""]",1000,2017,hardcover,"[4, 6.75, 3.34]",22.25,9781682559741,1682559742
Rosie's Little Cafe On The Riviera,Jennifer Bohnet,"[""Modern & Contemporary Fiction"", ""Fiction""]",384,2017,hardcover,"[3.5, 5.5, 1.28]",14.25,9780008246075,0008246076
Madrina's Secret Life,Julio Cesar Martinez Romero,"[""Modern & Contemporary Fiction"", ""Fiction""]",120,2017,"hardcover, paperback","[5, 7.37, 0.4]",41.75,9781506520872,1506520871
Flying Witch 1,Chihrio Ichizuka,"[""Manga"", ""Graphic Novels""]",160,2017,"hardcover, paperback","[5.37, 8, 0.54]",16.25,9781945054099,1945054093
I Almost Forgot About You,Terry McMillan,"[""Modern & Contemporary Fiction"", ""Fiction""]",368,2017,paperback,"[9.5, 12.0, 1.23]",23.75,9781101902592,1101902590
Homies,David Gonzales,"[""Graphic Novels"", ""Fiction""]",104,2017,paperback,"[2, 3, 0.35]",27.75,9781524103804,1524103802
Night Work,David C Taylor,"[""Historical Mysteries"", ""Crime & Mystery""]",320,2017,paperback,"[5, 7.37, 1.07]",29.95,9780765374868,0765374862
Opened Windows,J. R. Gonzalez,"[""Romance"", ""Fiction""]",360,2017,hardcover,"[2.5, 4, 1.2]",41.75,9781543428339,1543428339
The Reluctant Highlander,Amanda Scott,"[""Historical Romance"", ""Romance""]",350,2017,"hardcover, paperback","[4, 6.5, 1.17]",23.75,9781504016193,150401619X
Dynasty,D E Rogers,"[""Modern & Contemporary Fiction"", ""Fiction""]",262,2017,paperback,"[6, 9, 0.88]",27.75,9780692869925,0692869921
The Rift Uprising,Amy S Foster,"[""Science Fiction"", ""Fiction""]",416,2017,hardcover,"[7, 11, 1.39]",24.25,9780062443137,0062443135
Rinne,Rumiko Takahashi,"[""Graphic Novels"", ""Fiction""]",192,2017,paperback,"[3.5, 5.5, 0.64]",16.9,9781421594460,1421594463
Black Teeth and a Brilliant Smile,Adelle Stripe,"[""Modern & Contemporary Fiction"", ""Fiction""]",200,2017,hardcover,"[3.5, 5.5, 0.67]",24.5,9781903110560,1903110564
